ID,Marital_Status,Application_Mode,Course,Attendance_Type,Previous_Qualification,Admission_Grade,Displaced,Special_Needs,Debtor,Tuition_Fees_Up_To_Date,Gender,Scholarship_Holder,Age_At_Enrollment,International,Units_1st_Sem_Enrolled,Units_1st_Sem_Approved,Units_1st_Sem_Grade,Units_2nd_Sem_Enrolled,Units_2nd_Sem_Approved,Units_2nd_Sem_Grade,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Avg_Grade_Both_Sem,Unemployment_Rate,Inflation_Rate,GDP,Status
50,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,126.1,No,No,No,Yes,Female,Yes,19,No,6,5,12.333333333333334,6,6,12.833333333333334,0.833,1.0,12.58,12.7,3.7,-1.7,Graduate
51,Single,Over 23 years old,Tourism,Daytime,Secondary Education,113.5,No,No,No,Yes,Female,Yes,24,No,6,6,13.666666666666666,6,6,14.166666666666666,1.0,1.0,13.92,12.4,0.5,1.79,Graduate
52,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,121.3,Yes,No,No,Yes,Female,Yes,19,No,8,6,11.833333333333334,8,6,11.833333333333334,0.75,0.75,11.83,9.4,-0.8,-3.12,Enrolled
53,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,121.8,Yes,No,No,Yes,Female,Yes,20,No,6,4,14.0,6,3,11.0,0.667,0.5,12.5,9.4,-0.8,-3.12,Enrolled
54,Single,1st phase - general contingent,Equinculture,Daytime,Secondary Education,159.3,No,No,No,Yes,Female,No,19,No,5,5,14.714285714285714,5,5,15.8,1.0,1.0,15.26,7.6,2.6,0.32,Graduate
55,Single,Over 23 years old,Management (evening attendance),Evening,Secondary Education,120.0,No,No,No,Yes,Female,No,27,No,5,5,10.6,5,5,11.0,1.0,1.0,10.8,9.4,-0.8,-3.12,Dropout
56,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,129.1,Yes,No,No,Yes,Female,No,18,No,7,7,13.044444444444444,8,8,13.595,1.0,1.0,13.32,15.5,2.8,-4.06,Graduate
57,Married,Holders of other higher courses,Tourism,Daytime,Higher Education - Degree,130.0,No,No,No,Yes,Female,No,39,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,Dropout
58,Single,Over 23 years old,Equinculture,Daytime,Higher Education - Degree (1st cycle),155.3,Yes,No,No,Yes,Female,No,27,No,6,5,13.0,11,10,12.9,0.833,0.909,12.95,12.4,0.5,1.79,Dropout
59,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,139.8,Yes,No,No,Yes,Female,No,18,No,8,8,14.935,8,8,14.935,1.0,1.0,14.94,9.4,-0.8,-3.12,Graduate
60,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0.0,0,0,0.0,0,0,0.0,7.6,2.6,0.32,Enrolled
61,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,114.9,No,No,No,Yes,Female,No,18,No,7,6,13.133333333333333,8,7,12.221428571428572,0.857,0.875,12.68,16.2,0.3,-0.92,Graduate
62,Single,Technological specialization diploma holders,Social Service,Daytime,Technological Specialization Course,131.9,No,No,No,Yes,Female,Yes,21,No,6,6,12.0,6,6,12.0,1.0,1.0,12.0,13.9,-0.3,0.79,Graduate
63,Single,2nd phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0.0,0,0,0.0,0,0,0.0,10.8,1.4,1.74,Enrolled
64,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,130.2,Yes,No,No,Yes,Male,No,19,No,6,5,11.4,6,1,10.0,0.833,0.167,10.7,10.8,1.4,1.74,Enrolled
65,Single,Change of course,Communication Design,Daytime,Secondary Education,120.9,No,No,No,Yes,Male,No,24,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,Enrolled
66,Divorced,Transfer,Nursing,Daytime,Basic Education 3rd Cycle,126.0,Yes,No,No,Yes,Male,No,29,No,7,5,11.9,8,5,11.0,0.714,0.625,11.45,13.9,-0.3,0.79,Dropout
67,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0.0,0,0,0.0,0,0,0.0,10.8,1.4,1.74,Graduate
68,Single,Technological specialization diploma holders,Agronomy,Daytime,Technological Specialization Course,130.0,Yes,No,No,Yes,Male,No,23,No,6,6,12.571428571428571,6,6,12.428571428571429,1.0,1.0,12.5,8.9,1.4,3.51,Graduate
69,Single,1st phase - general contingent,Management,Daytime,Secondary Education,120.1,No,No,Yes,Yes,Male,No,19,No,5,5,11.2,5,4,10.75,1.0,0.8,10.98,16.2,0.3,-0.92,Dropout
70,Single,Over 23 years old,Tourism,Daytime,Secondary Education,100.0,No,No,No,Yes,Male,No,26,No,6,6,12.0,6,5,10.8,1.0,0.833,11.4,12.7,3.7,-1.7,Enrolled
71,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,134.0,No,No,No,Yes,Male,No,18,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Enrolled
72,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,130.8,No,No,No,Yes,Male,No,24,No,7,7,11.975,8,8,13.75,1.0,1.0,12.86,13.9,-0.3,0.79,Graduate
73,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0.0,0,0,0.0,0,0,0.0,15.5,2.8,-4.06,Dropout
74,Single,2nd phase - general contingent,Tourism,Daytime,Secondary Education,111.7,Yes,No,No,Yes,Male,No,18,No,6,3,11.666666666666666,6,1,12.0,0.5,0.167,11.83,12.4,0.5,1.79,Dropout
75,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,132.9,Yes,No,No,Yes,Male,No,18,No,6,6,12.333333333333334,6,3,12.333333333333334,1.0,0.5,12.33,10.8,1.4,1.74,Graduate
76,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,115.5,Yes,No,Yes,Yes,Male,No,18,No,5,3,10.333333333333334,5,3,10.857142857142858,0.6,0.6,10.6,10.8,1.4,1.74,Dropout
77,Single,3rd phase - general contingent,Tourism,Daytime,Secondary Education,106.0,Yes,No,No,Yes,Male,Yes,21,No,6,4,10.5,6,1,11.0,0.667,0.167,10.75,9.4,-0.8,-3.12,Dropout
78,Single,2nd phase - general contingent,Journalism and Communication,Daytime,Secondary Education,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,6,6,13.666666666666666,6,6,13.333333333333334,1.0,1.0,13.5,8.9,1.4,3.51,Graduate
79,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,130.8,No,No,No,Yes,Male,Yes,22,No,7,7,14.842857142857142,8,8,15.055555555555555,1.0,1.0,14.95,16.2,0.3,-0.92,Graduate
80,Married,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,117.0,No,No,No,Yes,Male,No,33,No,6,6,12.0,6,6,11.666666666666666,1.0,1.0,11.83,10.8,1.4,1.74,Graduate
81,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,110.2,Yes,No,No,Yes,Male,No,20,No,6,5,12.2,6,5,12.2,0.833,0.833,12.2,10.8,1.4,1.74,Dropout
82,Single,Over 23 years old,Management (evening attendance),Evening,Higher Education - Bachelor's,155.7,Yes,No,No,Yes,Male,No,35,No,1,0,0.0,5,0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
83,Single,Over 23 years old,Agronomy,Daytime,Higher Education - Master's,180.4,No,No,Yes,Yes,Male,No,24,No,12,6,12.166666666666666,12,10,13.3,0.5,0.833,12.73,12.4,0.5,1.79,Dropout
84,Single,2nd phase - general contingent,Tourism,Daytime,Secondary Education,125.5,No,No,No,Yes,Male,No,18,No,5,5,12.0,5,3,11.333333333333334,1.0,0.6,11.67,12.7,3.7,-1.7,Enrolled
85,Married,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,110.0,Yes,No,No,Yes,Female,No,33,No,6,6,11.0,6,5,11.0,1.0,0.833,11.0,9.4,-0.8,-3.12,Graduate
86,Single,Transfer,Nursing,Daytime,Secondary Education,161.0,Yes,No,No,Yes,Female,Yes,22,No,8,7,13.08,8,7,13.08,0.875,0.875,13.08,10.8,1.4,1.74,Graduate
87,Single,Over 23 years old,Advertising and Marketing Management,Daytime,Secondary Education,100.0,No,No,No,Yes,Female,Yes,25,No,5,4,10.5,5,5,11.6,0.8,1.0,11.05,9.4,-0.8,-3.12,Graduate
88,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,117.6,Yes,No,No,Yes,Male,No,20,No,6,6,10.666666666666666,6,5,11.2,1.0,0.833,10.93,7.6,2.6,0.32,Graduate
89,Single,1st phase - general contingent,Management,Daytime,Secondary Education,128.7,Yes,No,No,Yes,Male,No,23,No,5,4,14.0,5,5,13.8,0.8,1.0,13.9,11.1,0.6,2.02,Enrolled
90,Single,Change of course,Informatics Engineering,Daytime,Secondary Education,112.2,Yes,No,Yes,Yes,Male,No,18,No,5,2,10.0,5,0,0.0,0.4,0.0,5.0,15.5,2.8,-4.06,Enrolled
91,Single,Over 23 years old,Nursing,Daytime,Secondary Education,100.8,No,No,No,Yes,Male,No,24,No,7,0,0.0,7,0,0.0,0.0,0.0,0.0,13.9,-0.3,0.79,Dropout
92,Single,2nd phase - general contingent,Journalism and Communication,Daytime,Secondary Education,105.0,Yes,No,No,No,Female,No,21,Yes,6,6,14.0,6,6,13.5,1.0,1.0,13.75,8.9,1.4,3.51,Graduate
93,Single,International student (bachelor),Equinculture,Daytime,Secondary Education,100.0,No,No,No,Yes,Female,No,26,Yes,6,2,12.0,6,0,0.0,0.333,0.0,6.0,8.9,1.4,3.51,Dropout
94,Married,Over 23 years old,Basic Education,Daytime,11th Year - Not Completed,115.5,No,No,No,Yes,Female,No,39,No,6,3,12.666666666666666,6,0,0.0,0.5,0.0,6.33,7.6,2.6,0.32,Dropout
95,Married,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,114.0,No,No,No,Yes,Female,No,44,No,8,8,11.875,6,6,12.333333333333334,1.0,1.0,12.1,12.7,3.7,-1.7,Graduate
96,Single,International student (bachelor),Informatics Engineering,Daytime,Secondary Education,137.0,Yes,No,No,Yes,Male,No,19,Yes,5,5,14.0,5,3,13.25,1.0,0.6,13.62,13.9,-0.3,0.79,Enrolled
97,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,124.9,Yes,No,No,Yes,Female,No,18,No,6,6,13.666666666666666,6,6,13.333333333333334,1.0,1.0,13.5,8.9,1.4,3.51,Graduate
98,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,120.3,Yes,No,No,Yes,Female,Yes,18,No,7,7,13.75,8,8,14.47777777777778,1.0,1.0,14.11,12.4,0.5,1.79,Graduate
99,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,134.3,Yes,No,No,Yes,Female,No,19,No,5,5,14.2,5,5,13.8,1.0,1.0,14.0,12.7,3.7,-1.7,Enrolled
100,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,111.5,Yes,No,Yes,No,Female,No,19,No,7,4,11.96,7,0,0.0,0.571,0.0,5.98,13.9,-0.3,0.79,Dropout
101,Single,Short cycle diploma holders,Veterinary Nursing,Daytime,Professional Higher Technical Course,128.8,No,No,No,Yes,Female,No,21,No,10,8,12.875,9,5,13.4,0.8,0.556,13.14,8.9,1.4,3.51,Dropout
102,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,110.0,Yes,No,No,Yes,Female,No,20,No,0,0,0.0,0,0,0.0,0,0,0.0,16.2,0.3,-0.92,Graduate
103,Married,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,113.5,Yes,No,No,Yes,Female,No,36,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,Dropout
104,Divorced,Over 23 years old,Agronomy,Daytime,Other - 11th Year,160.0,No,No,No,Yes,Female,No,43,No,18,18,14.63157894736842,13,13,14.23076923076923,1.0,1.0,14.43,15.5,2.8,-4.06,Graduate
105,Single,3rd phase - general contingent,Basic Education,Daytime,Secondary Education,117.4,Yes,No,No,Yes,Female,No,19,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
106,Single,Change of institution/course,Communication Design,Daytime,Secondary Education,122.2,No,No,Yes,Yes,Female,No,20,No,10,10,13.0,11,11,12.272727272727272,1.0,1.0,12.64,11.1,0.6,2.02,Graduate
107,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,118.2,Yes,No,No,Yes,Female,No,19,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
108,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,106.7,Yes,No,No,Yes,Female,No,20,No,6,4,14.2,6,4,13.25,0.667,0.667,13.72,15.5,2.8,-4.06,Dropout
109,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,108.2,Yes,No,No,Yes,Female,No,20,No,7,6,13.266666666666666,7,5,12.3,0.857,0.714,12.78,12.4,0.5,1.79,Dropout
110,Single,2nd phase - general contingent,Basic Education,Daytime,Secondary Education,107.0,Yes,No,No,Yes,Female,No,20,No,7,6,11.666666666666666,7,3,13.0,0.857,0.429,12.33,16.2,0.3,-0.92,Enrolled
111,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,136.1,Yes,No,No,Yes,Female,No,18,No,6,6,13.857142857142858,6,6,15.0,1.0,1.0,14.43,13.9,-0.3,0.79,Graduate
112,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,115.3,Yes,No,No,Yes,Female,Yes,18,No,5,3,13.0,5,3,11.0,0.6,0.6,12.0,8.9,1.4,3.51,Enrolled
113,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,139.8,Yes,No,No,Yes,Female,No,19,No,5,5,13.4,5,5,12.8,1.0,1.0,13.1,10.8,1.4,1.74,Graduate
114,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,157.0,Yes,No,No,Yes,Female,No,18,No,6,6,12.666666666666666,6,6,12.571428571428571,1.0,1.0,12.62,10.8,1.4,1.74,Graduate
115,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,131.0,Yes,No,No,Yes,Female,No,18,No,7,6,12.516666666666666,7,6,12.516666666666666,0.857,0.857,12.52,7.6,2.6,0.32,Dropout
116,Single,Change of course,Nursing,Daytime,Secondary Education,100.0,No,No,No,Yes,Female,No,20,No,7,6,11.616666666666667,7,7,13.0,0.857,1.0,12.31,13.9,-0.3,0.79,Enrolled
117,Single,2nd phase - general contingent,Social Service,Daytime,Secondary Education,140.4,Yes,No,No,Yes,Female,Yes,20,No,6,2,10.0,6,4,10.75,0.333,0.667,10.38,7.6,2.6,0.32,Enrolled
118,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,113.4,No,No,No,Yes,Female,No,20,No,5,3,10.333333333333334,5,3,10.666666666666666,0.6,0.6,10.5,12.4,0.5,1.79,Enrolled
119,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,137.0,No,No,No,Yes,Female,No,18,No,5,5,13.142857142857142,5,5,11.4,1.0,1.0,12.27,9.4,-0.8,-3.12,Graduate
120,Single,1st phase - general contingent,Management,Daytime,Secondary Education,121.8,No,No,No,Yes,Female,No,18,No,5,5,12.6,5,5,14.0,1.0,1.0,13.3,11.1,0.6,2.02,Graduate
121,Single,2nd phase - general contingent,Tourism,Daytime,Secondary Education,131.0,Yes,No,No,Yes,Female,No,21,No,6,3,11.0,6,2,11.0,0.5,0.333,11.0,9.4,-0.8,-3.12,Dropout
122,Single,1st phase - general contingent,Management,Daytime,Secondary Education,118.6,Yes,No,No,Yes,Female,No,19,No,5,5,10.8,5,4,11.25,1.0,0.8,11.02,16.2,0.3,-0.92,Graduate
123,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,122.3,No,No,No,Yes,Female,No,19,No,0,0,0.0,0,0,0.0,0,0,0.0,10.8,1.4,1.74,Dropout
124,Single,1st phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,127.9,No,No,No,Yes,Female,Yes,19,No,5,5,12.8,5,5,14.2,1.0,1.0,13.5,9.4,-0.8,-3.12,Graduate
125,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,121.3,Yes,No,No,Yes,Female,No,19,No,6,6,14.166666666666666,6,6,12.2,1.0,1.0,13.18,15.5,2.8,-4.06,Graduate
